id,name,calories,image_attached
1000,"Cauliflower in white sauce, made with whole milk, homemade",72,no
1001,"Cauliflower with onions and chilli pepper, homemade",55,no
1002,"Cauliflower, boiled in unsalted water",29,no
1003,"Cauliflower, raw",30,yes
1004,"Caviare, bottled in brine, drained",92,no
1005,"Celeriac, boiled in unsalted water",15,no
1006,"Celeriac, raw",18,no
1007,Celery seeds,0,no
1008,"Celery, boiled in unsalted water",5,no
1009,"Celery, raw",9,no
1010,"Cereal bars, with fruit and/or nuts, no chocolate, unfortified",354,yes
1011,"Cereal bars, with fruit and/or nuts, with chocolate, unfortified",436,no
1012,"Chapatis, made with fat, retail",328,no
1013,"Chapatis, made without fat",202,no
1014,"Chard, Swiss, boiled in unsalted water",20,no
1015,"Chard, Swiss, raw",19,no
1016,"Cheese and onion rolls, pastry, retail",327,no
1017,"Cheese pudding, homemade",170,yes
1018,"Cheese sauce, made with semi-skimmed milk, homemade",182,no
1019,"Cheese sauce, made with skimmed milk, homemade",172,no
1020,"Cheese sauce, made with whole milk, homemade",197,no
1021,"Cheese sauce, packet mix, made up with semi-skimmed milk, homemade",106,no
1022,"Cheese sauce, packet mix, made up with skimmed milk, homemade",79,no
1023,"Cheese sauce, packet mix, made up with whole milk, homemade",108,no
1024,"Cheese spread, plain",237,no
1025,"Cheese spread, plain, reduced fat",154,yes
1026,"Cheese straws/twists, retail",510,no
1027,"Cheese, Brie, rind only",304,no
1028,"Cheese, Brie, with outer rind removed",343,no
1029,"Cheese, Caerphilly",375,no
1030,"Cheese, Camembert",290,no
1031,"Cheese, Cheddar type, '30% less fat'",314,yes
1032,"Cheese, Cheddar type, half fat",273,no
1033,"Cheese, Cheddar, English",416,no
1034,"Cheese, cottage, plain",103,no
1035,"Cheese, cottage, plain, reduced fat",68,no
1036,"Cheese, Danish blue",342,no
1037,"Cheese, Derby",402,no
1038,"Cheese, Dolcelatte, rind removed",394,no
1039,"Cheese, Double Gloucester",413,yes
1040,"Cheese, Edam",341,no
1041,"Cheese, Emmental",399,no
1042,"Cheese, Feta",250,no
1043,"Cheese, goats milk, full fat, soft, white rind",320,no
1044,"Cheese, Gouda",377,no
1045,"Cheese, Gruyere",409,no
1046,"Cheese, Halloumi",313,yes
1047,"Cheese, hard, average",411,no
1048,"Cheese, Lancashire",382,no
1049,"Cheese, Mascarpone",435,no
1050,"Cheese, Mozzarella, fresh",257,no
1051,"Cheese, Paneer",328,no
1052,"Cheese, Parmesan, fresh",415,no
1053,"Cheese, Port Salut, St Paulin type",333,yes
1054,"Cheese, processed, plain",297,no
1055,"Cheese, processed, slices, reduced fat",190,no
1056,"Cheese, processed, smoked",303,no
1057,"Cheese, Quark",74,no
1058,"Cheese, Red Leicester",403,no
1059,"Cheese, Red Windsor",401,no
1060,"Cheese, Ricotta",144,no
1061,"Cheese, Roquefort",375,yes
1062,"Cheese, Sage Derby",402,no
1063,"Cheese, spreadable, full fat, soft, white",252,no
1064,"Cheese, spreadable, medium fat, soft, white",153,no
1065,"Cheese, spreadable, soft white, low fat",99,no
1066,"Cheese, Stilton, blue",410,no
1067,"Cheese, Stilton, white",362,yes
1068,"Cheese, Wensleydale",381,no
1069,"Cheese, White Cheshire",380,yes
1070,"Cheese, white, average",381,no
1071,"Cheesecake, fruit, frozen",294,no
1072,"Cheesecake, fruit, individual",264,no
1073,"Cheesecake, homemade",325,no
1074,"Chelsea buns, homemade",361,no
1075,"Cherries, flesh and skin, raw",63,no
1076,"Cherries, flesh and skin, raw, weighed with stones",58,yes
1077,"Cherries, glace",294,no
1078,"Cherries, stewed with sugar",82,no
1079,"Cherries, stewed with sugar, weighed with stones",71,no
1080,"Cherries, stewed without sugar",42,no
1081,"Cherries, stewed without sugar, weighed with stones",36,no
1082,"Cherries, West Indian, flesh only",24,yes
1083,"Chervil, dried",237,no
1084,"Chestnuts, dried",319,no
1085,"Chestnuts, kernel only, raw",170,no
1086,"Chestnuts, kernel only, raw, weighed with shells",140,no
1087,"Chevda/chevra/chewra, homemade",487,no
1088,"Chicken breast/steak, coated, baked",234,no
1089,"Chicken chasseur, homemade",78,yes
1090,"Chicken chasseur, homemade, weighed with bone",69,no
1091,"Chicken fricassee, homemade",115,no
1092,"Chicken fricassee, reduced fat, homemade",101,no
1093,"Chicken in white sauce, made with semi-skimmed milk",156,no
1094,"Chicken in white sauce, made with whole milk",168,no
1095,"Chicken pieces, coated, takeaway",267,no
1096,"Chicken portions, battered, deep fried, takeaway",233,yes
1097,"Chicken satay, takeaway",191,no
1098,Chicken slices,114,no
1099,"Chicken soup, cream of, canned, condensed, as served",43,no
1100,"Chicken wings, marinated, meat and skin, barbecued",274,no
1101,"Chicken wings, marinated, meat and skin, barbecued, weighed with bone",179,no
1102,"Chicken, breast, casseroled, meat and skin",184,no
1103,"Chicken, breast, casseroled, meat and skin, weighed with bone",165,yes
1104,"Chicken, breast, casseroled, meat only",160,no
1105,"Chicken, breast, grilled with skin, meat only",147,no
1106,"Chicken, breast, grilled without skin, meat only",148,no
1107,"Chicken, breast, grilled, meat and skin",173,no
1108,"Chicken, breast, strips, stir-fried in corn oil",161,no
1109,"Chicken, corn-fed, raw, dark meat only",143,no
1110,"Chicken, corn-fed, raw, light meat only",118,no
1111,"Chicken, corn-fed, raw, meat only",129,yes
1112,"Chicken, corn-fed, raw, skin only",514,no
1113,"Chicken, corn-fed, roasted, dark meat only",185,no
1114,"Chicken, corn-fed, roasted, light meat only",141,no
1115,"Chicken, corn-fed, roasted, meat only",164,no
1116,"Chicken, dark meat, raw",109,no
1117,"Chicken, dark meat, roasted",196,no
1118,"Chicken, drumsticks, casseroled, meat and skin",217,yes
1119,"Chicken, drumsticks, casseroled, meat and skin, weighed with bone",141,no
1120,"Chicken, drumsticks, casseroled, meat only",185,no
1121,"Chicken, drumsticks, roasted, meat and skin",185,no
1122,"Chicken, drumsticks, roasted, meat and skin, weighed with bone",116,no
1123,"Chicken, drumsticks, roasted, meat only",152,no
1124,"Chicken, leg quarter, casseroled, meat and skin",217,no
1125,"Chicken, leg quarter, casseroled, meat and skin, weighed with bone",137,yes
1126,"Chicken, leg quarter, casseroled, meat only",176,no
1127,"Chicken, leg quarter, raw, meat and skin",193,yes
1128,"Chicken, leg quarter, raw, meat and skin, weighed with bone",133,yes
1129,"Chicken, leg quarter, roasted, meat and skin",236,yes
1130,"Chicken, leg quarter, roasted, meat and skin, weighed with bone",120,yes
1131,"Chicken, light meat, raw",106,yes
1132,"Chicken, light meat, roasted",153,yes
1133,"Chicken, meat, average, raw",108,yes
1134,"Chicken, meat, average, roasted",177,yes
1135,"Chicken, portions, not coated, deep-fried, meat and skin",259,yes
1136,"Chicken, portions, not coated, deep-fried, meat and skin, weighed with bone",179,yes
1137,"Chicken, skin, casseroled",407,yes
1138,"Chicken, skin, raw",474,yes
1139,"Chicken, skin, roasted/grilled, dry",501,yes
1140,"Chicken, skin, roasted/grilled, moist",452,yes
1141,"Chicken, stir-fried with mushrooms and cashew nuts, homemade",160,no
1142,"Chicken, stir-fried with peppers in black bean sauce, homemade",124,yes
1143,"Chicken, stir-fried with rice and vegetables, retail, reheated",132,no
1144,"Chicken, thighs, casseroled, meat and skin",233,yes
1145,"Chicken, thighs, casseroled, meat and skin, weighed with bone",193,no
1146,"Chicken, thighs, casseroled, meat only, diced",180,yes
1147,"Chicken, whole, corn-fed, raw, meat and skin",218,no
1148,"Chicken, whole, corn-fed, raw, meat and skin, weighed with bone",142,yes
1149,"Chicken, whole, corn-fed, roasted, meat and skin",215,no
1150,"Chicken, whole, corn-fed, roasted, meat and skin, weighed with bone",129,yes
1151,"Chicken, whole, raw, meat and skin",201,no
1152,"Chicken, whole, raw, meat and skin, weighed with bone",131,yes
1153,"Chicken, whole, roasted, meat and skin",218,no
1154,"Chicken, whole, roasted, meat and skin, weighed with bone",138,yes
1155,"Chicken, wing quarter, casseroled, meat and skin",210,no
1156,"Chicken, wing quarter, casseroled, meat and skin, weighed with bone",141,yes
1157,"Chicken, wing quarter, casseroled, meat only",164,no
1158,"Chicken, wing quarter, raw, meat and skin",193,yes
1159,"Chicken, wing quarter, raw, meat and skin, weighed with bone",127,no
1160,"Chicken, wing quarter, roasted, meat and skin",226,yes
1161,"Chicken, wing quarter, roasted, meat and skin, weighed with bone",120,yes
1162,"Chicken/turkey pasties/slices, puff pastry",289,no
1163,"Chicken/turkey pieces, coated, baked",256,yes
1164,"Chicory, pale variety, boiled in unsalted water",7,no
1165,"Chicory, pale variety, raw",11,yes
1166,"Chilli con carne, homemade",120,no
1167,"Chilli con carne, retail, reheated",96,yes
1168,"Chilli con carne, retail, reheated, with rice",116,yes
1169,Chilli powder,0,no
1170,Chilli sauce,40,yes
1171,"Chilli, bean and lentil, homemade",92,no
1172,"Chilli, Quorn, homemade",83,yes
1173,"Chilli, vegetable, homemade",49,no
1174,Chinese 5 spice,0,yes
1175,"Chital, raw",90,no
1176,"Chives, fresh",27,yes
1177,"Cho cho fritters, fried in rapeseed oil, homemade",192,yes
1178,"Cho cho, boiled in unsalted water",14,no
1179,"Cho cho, raw",17,yes
1180,Chocolate covered bar with caramel and cereal,501,no
1181,Chocolate covered caramel and biscuit fingers,495,yes
1182,Chocolate covered wafer biscuit,509,yes
1183,Chocolate nut spread,549,no
1184,Chocolate nut sundae,271,no
1185,Chocolate spread,575,yes
1186,"Chocolate, dark, with crème or mint fondant centres",431,yes
1187,"Chocolate, fancy and filled",447,no
1188,"Chocolate, milk",519,yes
1189,"Chocolate, plain",510,no
1190,"Chocolate, white",529,yes
1191,Chorizo,395,no
1192,"Choux buns, homemade",395,yes
1193,"Chow mein, beef, retail, reheated",136,no
1194,"Chow mein, chicken, takeaway",147,yes
1195,"Chow mein, pork and chicken, homemade",72,no
1196,"Chutney, apple, homemade",190,yes
1197,"Chutney, mango, sweet",189,no
1198,"Chutney, tomato",128,yes
1199,"Chutney, tomato, homemade",166,no
1200,"Cider, dry",36,yes
1201,"Cider, low alcohol",17,yes
1202,"Cider, strong",68,no
1203,"Cider, sweet",42,yes
1204,"Cinnamon, ground",0,no
1205,"Citrus fruit, soft/easy peelers, flesh only",41,yes
1206,"Citrus fruit, soft/easy peelers, flesh only, weighed with peel and pips",32,no
1207,"Cloves, dried",0,yes
1208,"Cockles, boiled",53,no
1209,"Coco fritters, fried in rapeseed oil, homemade",322,yes
1210,Cocoa butter,896,no
1211,Cocoa powder,312,yes
1212,"Cocoa powder, made up with semi-skimmed milk",58,yes
1213,"Cocoa powder, made up with skimmed milk",46,no
1214,"Cocoa powder, made up with whole milk",74,yes
1215,"Coconut ice, homemade",369,no
1216,Coconut milk,22,yes
1217,"Coconut milk, reduced fat, retail",79,no
1218,"Coconut milk, retail",169,yes
1219,"Coconut, desiccated",604,no
1220,"Coconut, flesh only, fresh",351,yes
1221,"Cod, dried, salted, boiled",138,no
1222,"Cod, flesh only, baked",100,yes
1223,"Cod, flesh only, baked, weighed with bones and skin",89,yes
1224,"Cod, flesh only, grilled",106,no
1225,"Cod, flesh only, microwaved",98,yes
1226,"Cod, flesh only, poached in milk, butter and salt added",94,no
1227,"Cod, flesh only, poached in milk, butter and salt added, weighed with bones and skin",81,yes
1228,"Cod, flesh only, raw",75,no
1229,"Cod, flesh only, salted and smoked, raw",79,yes
1230,"Cod, flesh only, steamed",98,yes
1231,"Cod, flesh only, steamed, weighed with bones and skin",86,no
1232,"Cod, in batter, baked",229,no
1233,"Cod, in batter, fried in dripping, takeaway",240,yes
1234,"Cod, in batter, fried in rapeseed oil",285,no
1235,"Cod, in batter, fried in sunflower oil, takeaway",240,yes
1236,"Cod, in batter, fried, takeaway",240,yes
1237,"Cod, in breadcrumbs, baked",204,no
1238,"Coffee and chicory essence, with water",9,yes
1239,"Coffee, cappuccino, latte",27,no
1240,"Coffee, infusion, average",2,yes
1241,"Coffee, infusion, average, with semi-skimmed milk",7,no
1242,"Coffee, infusion, average, with single cream",14,yes
1243,"Coffee, infusion, average, with whole milk",7,no
1244,"Coffee, infusion, strong",2,yes
1245,"Coffee, infusion, weak",2,no
1246,"Coffee, instant, made up with water",0,yes
1247,"Coffee, instant, made up with water and semi-skimmed milk",7,no
1248,"Coffee, instant, made up with water and whole milk",8,yes
1249,"Coffee, Irish",125,no
1250,"Coffee, powder, instant",75,yes
1251,"Coffeemate, whitener powder",534,yes
1252,Cola,41,yes
1253,"Cola, diet",1,no
1254,"Cole leaves, dried, boiled in unsalted water",19,yes
1255,"Coleslaw, not low calorie, retail",173,no
1256,"Coleslaw, with reduced calorie dressing, retail",110,yes
1257,"Coley, flesh only, baked",111,no
1258,"Coley, flesh only, grilled",105,yes
1259,"Coley, flesh only, poached",114,no
1260,"Coley, flesh only, raw",82,yes
1261,"Coley, flesh only, steamed",105,no
1262,"Coley, flesh only, steamed, weighed with bones and skin",95,yes
1263,"Complan powder, original and sweet",438,yes
1264,"Complan powder, savoury",439,no
1265,"Complan powder, savoury, made up with water",97,yes
1266,"Complan powder, sweet, made up with semi-skimmed milk",132,no
1267,"Complan powder, sweet, made up with skimmed milk",122,yes
1268,"Complan powder, sweet, made up with water",98,no
1269,"Complan powder, sweet, made up with whole milk",145,yes
1270,"Coo-coo, homemade",99,no
1271,"Cooking fat, compound, not polyunsaturated",900,yes
1272,"Coq au vin, homemade",188,no
1273,"Coq au vin, homemade, weighed with bone",150,yes
1274,"Coriander leaves, dried",279,no
1275,"Coriander leaves, fresh",18,yes
1276,Coriander seeds,0,no
1277,"Corn fritters, fried in rapeseed oil, homemade",287,yes
1278,"Corn pudding, homemade",78,no
1279,Corn snacks,526,yes
1280,"Corned beef hash, homemade",141,no
1281,"Corned beef, canned",205,yes
1282,Cornetto type ice cream cone,292,yes
1283,"Cornish pasty, homemade",287,no
1284,"Cornish pasty, retail",278,yes
1285,"Cornmeal, sifted",368,no
1286,"Coronation chicken, homemade",362,yes
1287,"Coronation chicken, reduced fat, homemade",216,no
1288,"Courgette, boiled in unsalted water",15,yes
1289,"Courgette, dried",280,no
1290,"Courgette, fried in butter",63,yes
1291,"Courgette, fried in corn oil",63,yes
1292,"Courgette, fried in rapeseed oil",63,no
1293,"Courgette, raw",16,no
1294,"Courgette, roasted in rapeseed oil",39,yes
1295,"Courgettes with eggs, homemade",112,yes
1296,"Couscous, plain, cooked",178,no
1297,"Couscous, plain, raw",364,yes
1298,"Crab, brown meat, purchased cooked",145,no
1299,"Crab, canned in brine, drained",77,yes
1300,"Crab, purchased cooked",115,no
1301,"Crab, white and brown meat, purchased cooked, weighed with shell",51,yes
1302,"Crab, white meat, purchased cooked",85,no
1303,"Crackers, wholemeal, homemade",421,no
1304,Cranberries,15,yes
1305,Cranberry fruit juice drink,45,yes
1306,"Crayfish, raw",67,no
1307,Cream crackers,445,yes
1308,Cream of tartar,239,no
1309,"Cream substitute, double",345,yes
1310,"Cream substitute, single",158,no
1311,"Cream, dairy, extra thick (24% fat)",236,yes
1312,"Cream, dairy, UHT, canned spray, 85% cream",252,no
1313,"Cream, dairy, UHT, half fat, canned spray",196,yes
1314,"Cream, fresh, clotted",586,no
1315,"Cream, fresh, double, including Jersey cream",496,yes
1316,"Cream, fresh, single",193,no
1317,"Cream, fresh, whipping",381,yes
1318,"Cream, half, fresh",148,yes
1319,"Crème caramel, homemade",157,no
1320,"Creme caramel, retail",104,no
1321,Creme egg,425,yes
1322,"Creme fraiche, full fat",378,no
1323,"Creme fraiche, half fat",162,yes
1324,"Crispbread, rye",284,yes
1325,Croissants,373,no
1326,"Crumble, apple, homemade",201,yes
1327,"Crumble, fruit, homemade",195,no
1328,"Crumble, fruit, retail",219,yes
1329,"Crumble, fruit, wholemeal, homemade",198,no
1330,"Crumble, vegetable, with tinned tomatoes, homemade",174,yes
1331,"Crumble, vegetable, with tinned tomatoes, wholemeal, homemade",170,no
1332,"Crumble, vegetable, with white sauce, homemade",165,yes
1333,"Crumble, vegetable, with white sauce, wholemeal, homemade",171,no
1334,"Crumble, with pie filling, homemade",207,yes
1335,"Crumpets, toasted",207,yes
1336,"Cucumber, raw, flesh and skin",14,no
1337,Cumin seeds,0,no
1338,"Curly kale, boiled in unsalted water",26,yes
1339,"Curly kale, raw",33,yes
1340,"Currant buns, retail",280,no
1341,"Currant buns, toasted",311,yes
1342,Currants,267,no
1343,"Curry leaves, fresh",97,yes
1344,Curry paste,253,yes
1345,Curry powder,233,no
1346,"Curry powder, mixed flavours",316,yes
1347,"Curry, almond, homemade",328,yes
1348,"Curry, beef and spinach, homemade",94,no
1349,"Curry, beef, homemade",209,no
1350,"Curry, beef, reduced fat, homemade",139,yes
1351,"Curry, beef, retail, reheated",137,no
1352,"Curry, beef, retail, reheated, with rice",147,yes
1353,"Curry, bhindi subji, homemade",71,yes
1354,"Curry, black gram, whole and red kidney bean, homemade",94,no
1355,"Curry, black gram, whole, Bengali, homemade",76,no
1356,"Curry, black gram, whole, Gujerati, homemade",154,yes
1357,"Curry, black-eye bean, homemade",139,yes
1358,"Curry, black-eye bean, Punjabi, homemade",111,no
1359,"Curry, Bombay potato, homemade",118,yes
1360,"Curry, cabbage, masala, homemade",83,no
1361,"Curry, cauliflower and potato, homemade",60,yes
1362,"Curry, chick pea dahl and spinach, with butter, homemade",182,no
1363,"Curry, chick pea dahl and spinach, with vegetable oil, homemade",201,yes
1364,"Curry, chick pea dhal, homemade",152,no
1365,"Curry, chick pea, UK type, homemade",109,yes
1366,"Curry, chick pea, whole and potato, homemade",119,no
1367,"Curry, chick pea, whole and tomato, Gujerati, with butter ghee, homemade",237,yes
1368,"Curry, chick pea, whole and tomato, Gujerati, with vegetable oil, homemade",238,no
1369,"Curry, chick pea, whole and tomato, Punjabi, with butter, homemade",107,yes
1370,"Curry, chick pea, whole and tomato, Punjabi, with vegetable oil, homemade",112,no
1371,"Curry, chick pea, whole, Gujerati type, homemade",183,yes
1372,"Curry, chicken balti, retail",105,no
1373,"Curry, chicken korma, homemade",127,yes
1374,"Curry, chicken tandoori, retail, reheated",214,yes
1375,"Curry, chicken tikka masala, retail, reheated",156,no
1376,"Curry, chicken vindaloo, homemade",192,yes
1377,"Curry, chicken vindaloo, reduced fat, homemade",121,no
1378,"Curry, chicken, average, retail, reheated",149,yes
1379,"Curry, chicken, average, retail, reheated with rice",154,no
1380,"Curry, chicken, average, takeaway",145,yes
1381,"Curry, chicken, made with cook-in sauce",144,no
1382,"Curry, chicken, Thai green, takeaway and restaurant",119,yes
1383,"Curry, courgette and potato, homemade",96,yes
1384,"Curry, dudhi, kofta, homemade",111,no
1385,"Curry, egg and potato, homemade",138,yes
1386,"Curry, egg, in sweet sauce, UK type, homemade",112,no
1387,"Curry, egg, with butter, homemade",135,yes
1388,"Curry, egg, with rapeseed oil, homemade",149,no
1389,"Curry, fish and vegetable, Bangladeshi, homemade",118,yes
1390,"Curry, fish, Bangladeshi, homemade",125,yes
1391,"Curry, fish, homemade",139,no
1392,"Curry, green bean, masala, homemade",130,yes
1393,"Curry, haddock, Bengali, homemade",263,no
1394,"Curry, herring, Bengali, homemade",327,yes
1395,"Curry, karela, homemade",111,no
1396,"Curry, lamb biryani, homemade",195,yes
1397,"Curry, lamb biryani, reduced fat, homemade",150,no
1398,"Curry, lamb rogan josh, homemade",149,yes
1399,"Curry, lamb vindaloo, homemade",199,no
1400,"Curry, lamb, made with cook-in sauce",242,yes
1401,"Curry, lentil, red/masoor dahl and mung bean dahl, homemade",116,no
1402,"Curry, lentil, red/masoor dahl and tomato, Punjabi, homemade",93,yes
1403,"Curry, lentil, red/masoor dahl and tomato, with butter, homemade",104,yes
1404,"Curry, lentil, red/masoor dahl and tomato, with vegetable oil, homemade",113,no
1405,"Curry, lentil, red/masoor dahl and vegetable, UK type, homemade",112,yes
1406,"Curry, lentil, red/masoor dahl, mung bean dahl and tomato, homemade",92,no
1407,"Curry, lentil, red/masoor dahl, Punjabi, homemade",141,yes
1408,"Curry, lentil, red/masoor dahl, with butter, homemade",161,no
1409,"Curry, lentil, red/masoor dahl, with vegetable oil, homemade",173,yes
1410,"Curry, lentil, whole/masoor, Gujerati, homemade",137,no
1411,"Curry, lentil, whole/masoor, Punjabi, homemade",148,yes
1412,"Curry, mung bean dahl and spinach, homemade",102,no
1413,"Curry, mung bean dahl and tomato, homemade",95,yes
1414,"Curry, mung bean dahl, Bengali, homemade",74,no
1415,"Curry, mung bean, whole and turnip leaves, homemade",169,yes
1416,"Curry, mung bean, whole, Gujerati, homemade",126,no
1417,"Curry, mung bean, whole, Punjabi, homemade",74,yes
1418,"Curry, pea and potato, homemade",147,yes
1419,"Curry, pigeon pea dahl and tomato, homemade",56,no
1420,"Curry, pigeon pea dahl with tomatoes and peanuts, homemade",121,yes
1421,"Curry, pigeon pea dahl, with butter, homemade",108,no
1422,"Curry, pigeon pea dahl, with vegetable oil, homemade",116,yes
1423,"Curry, potato and pea, homemade",92,no
1424,"Curry, potato, Gujerati, homemade",94,yes
1425,"Curry, potato, Punjabi, homemade",94,no
1426,"Curry, prawn and mushroom, homemade",164,yes
1427,"Curry, Prawn bhuna, takeaway",120,no
1428,"Curry, Prawn madras, takeaway",115,yes
1429,"Curry, prawn, takeaway",118,no
1430,"Curry, red kidney and mung bean, whole, homemade",153,yes
1431,"Curry, red kidney bean, Gujerati, homemade",107,yes
1432,"Curry, red kidney bean, Punjabi, homemade",106,no
1433,"Curry, spinach and potato, masala, homemade",110,yes
1434,"Curry, Thai, stir-fry vegetable, takeaway and restaurant",101,no
1435,"Curry, tinda gourd and potato, homemade",74,yes
1436,"Curry, vegetable, frozen mixed vegetables, homemade",90,no
1437,"Curry, vegetable, in sweet sauce, UK type, homemade",51,yes
1438,"Curry, vegetable, Islami, homemade",81,no
1439,"Curry, vegetable, Pakistani, homemade",64,yes
1440,"Curry, vegetable, ready meal, without rice, cooked",94,no
1441,"Curry, vegetable, retail, with rice",125,yes
1442,"Curry, vegetable, West Indian, homemade",60,yes
1443,"Curry, vegetable, with yogurt, UK type, homemade",64,no
1444,"Custard apple/Bullock's heart, flesh only",70,yes
1445,Custard powder,354,no
1446,"Custard, confectioners'",153,yes
1447,"Custard, egg",95,no
1448,"Custard, made up with semi-skimmed milk",95,yes
1449,"Custard, made up with skimmed milk",81,no
1450,"Custard, made up with whole milk",114,yes
1451,"Custard, ready to eat, canned and tetra-pak",98,yes
1452,"Cuttlefish, raw",71,no
1453,"Dab, raw",74,yes
1454,"Dahl, mixed, homemade",60,no
1455,"Dal Dhokari, homemade",123,yes
1456,"Damsons, flesh and skin, raw",38,no
1457,"Damsons, flesh and skin, raw, weighed with stones",34,yes
1458,"Damsons, stewed with sugar",74,no
1459,"Damsons, stewed with sugar, weighed with stones",68,yes
1460,"Damsons, stewed without sugar",34,no
1461,"Damsons, stewed without sugar, weighed with stones",31,yes
1462,"Dates, dried, flesh and skin",235,no
1463,"Dates, dried, flesh and skin, weighed with stones",197,yes
1464,"Dates, raw, flesh and skin",124,yes
1465,"Dates, raw, flesh and skin, weighed with stones",107,no
1466,"Desserts, dairy, chocolate",214,yes
1467,"Devilled kidneys, homemade",129,no
1468,Dill seeds,0,yes
1469,"Dill, dried",253,no
1470,"Dill, fresh",25,yes
1471,"Dips, sour-cream based, assorted flavours",360,no
1472,"Dips, sour-cream based, reduced fat",180,yes
1473,Doner kebab in pitta bread with salad,248,no
1474,"Doner kebabs, meat only",377,yes
1475,"Dosa, filling, vegetable, homemade",97,no
1476,"Doughnuts, ring, iced",413,yes
1477,"Doughnuts, with jam",321,no
1478,"Dover sole, raw",89,yes
1479,"Dressing, blue cheese",368,yes
1480,"Dressing, French",335,no
1481,"Dressing, French, fat free",33,yes
1482,"Dressing, French, homemade",680,no
1483,"Dressing, oil and lemon, homemade",652,no
1484,"Dressing, thousand island",210,yes
1485,"Dressing, yogurt, homemade",72,yes
1486,Dried mixed fruit,268,no
1487,"Drinking chocolate powder, made up with semi-skimmed milk",74,yes
1488,"Drinking chocolate powder, made up with skimmed milk",62,no
1489,"Drinking chocolate powder, made up with whole milk",89,yes
1490,"Drinking chocolate, powder",377,no
1491,"Drinking chocolate, powder, reduced fat",354,yes
1492,"Dripping, beef",891,yes
1493,"Drumstick leaves, boiled in unsalted water",70,no
1494,"Drumstick leaves, raw",72,yes
1495,"Drumstick pods, boiled in unsalted water",36,no
1496,"Drumstick pods, raw",37,yes
1497,"Duck a l'orange, excluding fat and skin, homemade",122,no
1498,"Duck a l'orange, including fat and skin, homemade",236,yes
1499,"Duck with pineapple, homemade",313,no
1500,"Duck, crispy, chinese style, meat and skin",331,yes
1501,"Duck, meat only, raw",137,no
1502,"Duck, raw, meat only, weighed with fat, skin and bone",38,yes
1503,"Duck, raw, meat, fat and skin",388,no
1504,"Duck, roasted, meat only",195,yes
1505,"Duck, roasted, meat only, weighed with fat, skin and bone",41,no
1506,"Duck, roasted, meat, fat and skin",423,yes
1507,"Dumplings, homemade",211,no
1508,"Durian, flesh only",136,yes
1509,"Eccles cakes, retail",365,no
1510,"Eel, conger, flesh only, grilled",137,yes
1511,"Eel, conger, flesh only, grilled, weighed with bones and skin",71,no
1512,"Eel, conger, flesh only, raw",114,yes
1513,"Eel, yellow, raw",168,no
1514,Egg fu yung,229,yes
1515,"Egg nog, homemade",98,no
1516,"Eggs, chicken, scrambled, with semi-skimmed milk",237,yes
1517,"Eggs, chicken, white, boiled",52,yes
1518,"Eggs, chicken, white, dried",327,no
1519,"Eggs, chicken, white, raw",43,yes
1520,"Eggs, chicken, whole, boiled",143,no
1521,"Eggs, chicken, whole, dried",507,yes
1522,"Eggs, chicken, whole, fried in sunflower oil",200,yes
1523,"Eggs, chicken, whole, fried, without fat",167,no
1524,"Eggs, chicken, whole, poached",149,yes
1525,"Eggs, chicken, whole, raw",131,yes
1526,"Eggs, chicken, whole, scrambled, without milk",152,no
1527,"Eggs, chicken, yolk, boiled",360,yes
1528,"Eggs, chicken, yolk, raw",347,no
1529,"Eggs, duck, boiled and salted",198,yes
1530,"Eggs, duck, whole, raw",163,no
1531,"Eggs, quail, whole, raw",151,yes
1532,"Eggs, turkey, whole, raw",165,no
1533,"Elderberries, whole fruit",35,yes
1534,"Enchiladas, beef, homemade",153,no
1535,"Endive, raw",13,yes
1536,"Energy drink, carbonated",42,no
1537,"Faggots in gravy, retail, reheated",148,yes
1538,"Fajita, chicken, meat only, takeaway and restaurant",125,no
1539,"Falafel, fried in rapeseed oil, homemade",183,yes
1540,"Fat spread, low fat (26-39%), not polyunsaturated, including dairy type",354,no
1541,"Fat spread, low fat (26-39%), not polyunsaturated, with olive oil",353,yes
1542,"Fat spread, low fat (26-39%), polyunsaturated",339,no
1543,"Fat spread, reduced fat (41-62%), not polyunsaturated",552,yes
1544,"Fat spread, reduced fat (41-62%), not polyunsaturated, with olive oil",537,yes
1545,"Fat spread, reduced fat (41-62%), polyunsaturated",533,no
1546,"Fat spread, reduced fat (62-75%), not polyunsaturated",660,yes
1547,"Fat spread, reduced fat (62-75%), polyunsaturated",620,no
1548,"Feijoa, flesh only",47,yes
1549,Fennel seeds,0,no
1550,"Fennel, Florence, boiled in unsalted water",11,yes
1551,"Fennel, Florence, raw",12,no
1552,"Fenugreek leaves, raw",35,yes
1553,Fenugreek seeds,0,yes
1554,Fig Rolls,363,no
1555,"Figs, dried, stewed with sugar",143,no
1556,"Figs, dried, stewed without sugar",126,yes
1557,"Figs, ready-to-eat, semi-dried",186,yes
1558,"Figs, whole fruit, dried",227,no
1559,"Figs, whole green fruit, raw",43,yes
1560,"Fish balls, steamed",74,no
1561,"Fish fingers, cod, fried in rapeseed oil",240,yes
1562,"Fish fingers, cod, fried in sunflower oil",240,yes
1563,"Fish fingers, cod, grilled/baked",223,no
1564,"Fish fingers, pollock, grilled",213,yes
1565,"Fish fingers, salmon, grilled/baked",247,no
